epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.016212,0.127326,0.0055,0.016239
2,0.016142,0.127051,0.0091,0.016187
3,0.016084,0.126823,0.012121,0.016145
4,0.016034,0.126624,0.015657,0.016112
5,0.015988,0.126444,0.018634,0.016081
6,0.015947,0.126281,0.021348,0.016054
7,0.01591,0.126135,0.024391,0.016032
8,0.015876,0.125999,0.027107,0.016011
9,0.015845,0.125876,0.029512,0.015992
10,0.015817,0.125764,0.031583,0.015975
11,0.015791,0.125663,0.033222,0.015957
12,0.015768,0.12557,0.034479,0.01594
13,0.015746,0.125484,0.035743,0.015925
14,0.015727,0.125407,0.036651,0.01591
15,0.015709,0.125334,0.037408,0.015896
16,0.015692,0.125266,0.038348,0.015883
17,0.015676,0.125204,0.039183,0.015872
18,0.015662,0.125147,0.03974,0.01586
19,0.015648,0.125093,0.04022,0.015849
20,0.015636,0.125044,0.040689,0.015839
21,0.015624,0.124998,0.041047,0.01583
22,0.015614,0.124955,0.041324,0.01582
23,0.015604,0.124914,0.042135,0.015814
24,0.015594,0.124876,0.042814,0.015808
25,0.015583,0.124832,0.04328,0.015799
26,0.015572,0.124787,0.043816,0.015791
27,0.015561,0.124743,0.044723,0.015784
28,0.015551,0.124702,0.045462,0.015778
29,0.015541,0.124664,0.046172,0.015772
30,0.015533,0.124631,0.046739,0.015767
31,0.015526,0.124602,0.047224,0.015762
32,0.015519,0.124576,0.047676,0.015758
33,0.015513,0.124553,0.048111,0.015754
34,0.015508,0.124531,0.048458,0.01575
35,0.015503,0.124511,0.048852,0.015747
36,0.015498,0.124493,0.049308,0.015745
37,0.015494,0.124476,0.049654,0.015742
38,0.01549,0.12446,0.049901,0.01574
39,0.015487,0.124447,0.050071,0.015737
40,0.015484,0.124434,0.050238,0.015735
41,0.015481,0.124422,0.050827,0.015735
42,0.015478,0.12441,0.051264,0.015734
43,0.015474,0.124395,0.051727,0.015733
44,0.01547,0.124378,0.052318,0.015732
45,0.015466,0.124362,0.052943,0.015731
46,0.015462,0.124346,0.053489,0.015729
47,0.015459,0.124332,0.054,0.015729
48,0.015455,0.124319,0.054552,0.015728
49,0.015452,0.124308,0.055027,0.015728
50,0.01545,0.124297,0.055357,0.015727
51,0.015447,0.124287,0.055823,0.015726
52,0.015445,0.124279,0.056208,0.015726
53,0.015443,0.124272,0.056443,0.015726
54,0.015442,0.124266,0.056628,0.015725
55,0.015441,0.124261,0.056702,0.015724
56,0.01544,0.124258,0.056802,0.015724
57,0.015439,0.124255,0.056992,0.015724
58,0.015439,0.124254,0.057032,0.015724
59,0.015439,0.124252,0.056979,0.015723
60,0.015438,0.12425,0.05706,0.015723
61,0.015438,0.124249,0.057195,0.015724
62,0.015438,0.124248,0.057222,0.015724
63,0.015437,0.124246,0.057406,0.015724
64,0.015436,0.124243,0.057558,0.015724
65,0.015436,0.124241,0.057624,0.015724
66,0.015435,0.124239,0.057615,0.015723
67,0.015435,0.124239,0.057666,0.015724
68,0.015435,0.124238,0.057654,0.015723
69,0.015435,0.124238,0.057595,0.015723
70,0.015435,0.124238,0.057603,0.015723
71,0.015435,0.124239,0.057611,0.015723
72,0.015436,0.12424,0.057597,0.015724
73,0.015435,0.124239,0.057664,0.015724
74,0.015435,0.124238,0.057657,0.015723
75,0.015435,0.124237,0.057732,0.015724
