variant,year,n,rmse,direction_accuracy,balanced_accuracy,macro_f1,pearson,std_ratio
e0_baseline,2022,243,0.13264792055108487,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.13713578313391134,0.05833809731448367
e0_baseline,2023,245,0.11501235697750484,0.5102040816326531,0.5097881469562886,0.5092147435897436,-0.007306619515427916,0.03614823422369664
e0_baseline,2024,244,0.12507939180055824,0.5327868852459017,0.5291879034998301,0.528957528957529,0.06510489775571994,0.09178043670569788
e0_baseline,2025,241,0.1273164061657808,0.5394190871369294,0.5397038567493113,0.5373800259403372,0.05299096156935196,0.0795059555689024
e1_persistence,2022,243,0.13210298580322452,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.14956666183804596,0.07968691968865467
e1_persistence,2023,245,0.11420179398394432,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.13672496629452263,0.05793102027431757
e1_persistence,2024,244,0.12461346946531948,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.10430409051397707,0.10790147490407692
e1_persistence,2025,241,0.12646841074194368,0.5435684647302904,0.543870523415978,0.5412859911406422,0.12620441657413262,0.09167361688161431
e7_persistence_liquidity,2022,243,0.13215087691832758,0.588477366255144,0.5394088669950738,0.527972027972028,0.14543047944677556,0.0791990883971553
e7_persistence_liquidity,2023,245,0.1141602289837928,0.5591836734693878,0.5590640922499329,0.5582932692307692,0.14154013341457264,0.05916146697354291
e7_persistence_liquidity,2024,244,0.12458153822399884,0.5368852459016393,0.5355419639823309,0.5346262258004625,0.10626818624210602,0.11158060079659898
e7_persistence_liquidity,2025,241,0.1264532476223774,0.5477178423236515,0.5478994490358127,0.5469377899656784,0.12741322902570384,0.09201315826363732
