investor,epoch,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,total_loss_mean,total_loss_std
foreign,1,0.06574540000000001,0.002626454094228738,0.059613,0.070453,0.06574540000000001,0.002626454094228738
foreign,2,0.06448682222222223,0.0025744335324749193,0.058647,0.069187,0.06448682222222223,0.0025744335324749193
foreign,3,0.06350942222222222,0.0025178188024999404,0.057881,0.068124,0.06350942222222222,0.0025178188024999404
foreign,4,0.06270651111111111,0.0024792164233356823,0.057311,0.067269,0.06270651111111111,0.0024792164233356823
foreign,5,0.06202106666666666,0.0024365941990633316,0.056837,0.066604,0.06202106666666666,0.0024365941990633316
foreign,6,0.061437,0.0023874147771557872,0.056478,0.065949,0.061437,0.0023874147771557872
foreign,7,0.0609292,0.002336669634719079,0.056178,0.065327,0.0609292,0.002336669634719079
foreign,8,0.06048508888888889,0.00227875118134136,0.055952,0.064907,0.06048508888888889,0.00227875118134136
foreign,9,0.06009355555555556,0.0022305382815034865,0.055764,0.064426,0.06009355555555556,0.0022305382815034865
foreign,10,0.05975842222222222,0.002187473080238401,0.055562,0.064029,0.05975842222222222,0.002187473080238401
foreign,11,0.05945915555555555,0.0021393107636419593,0.055296,0.063677,0.05945915555555555,0.0021393107636419593
foreign,12,0.059185688888888886,0.0020969611109913555,0.055103,0.063334,0.059185688888888886,0.0020969611109913555
foreign,13,0.05895015555555555,0.0020594753740119415,0.05492,0.063048,0.05895015555555555,0.0020594753740119415
foreign,14,0.0587352,0.002019391094094724,0.054733,0.062771,0.0587352,0.002019391094094724
foreign,15,0.0585456,0.0019883427590012557,0.054618,0.062579,0.0585456,0.0019883427590012557
foreign,16,0.05837511111111111,0.0019565463684562117,0.054495,0.062371,0.05837511111111111,0.0019565463684562117
foreign,17,0.058230422222222224,0.0019277349814188311,0.054367,0.0622,0.058230422222222224,0.0019277349814188311
foreign,18,0.058102,0.0018995639212485288,0.054279,0.062032,0.058102,0.0018995639212485288
foreign,19,0.05798302222222222,0.001877726593140189,0.054167,0.061854,0.05798302222222222,0.001877726593140189
foreign,20,0.0578796,0.0018620694426070466,0.054078,0.061742,0.0578796,0.0018620694426070466
foreign,21,0.05778791111111111,0.0018426935672618708,0.053992,0.061634,0.05778791111111111,0.0018426935672618708
foreign,22,0.05770904444444444,0.0018264467858703577,0.053942,0.061517,0.05770904444444444,0.0018264467858703577
foreign,23,0.057633866666666665,0.0018197358149917378,0.053849,0.061445,0.057633866666666665,0.0018197358149917378
foreign,24,0.05756191111111111,0.0018047008543626759,0.053824,0.061352,0.05756191111111111,0.0018047008543626759
foreign,25,0.05750071111111111,0.0017970098348269144,0.053755,0.061276,0.05750071111111111,0.0017970098348269144
foreign,26,0.05744615555555556,0.0017886994762009688,0.053721,0.061218,0.05744615555555556,0.0017886994762009688
foreign,27,0.05739808888888889,0.0017810590800039876,0.053657,0.061157,0.05739808888888889,0.0017810590800039876
foreign,28,0.05735104444444444,0.001778401132728188,0.053631,0.061119,0.05735104444444444,0.001778401132728188
foreign,29,0.057312155555555556,0.0017720889567702503,0.053604,0.061068,0.057312155555555556,0.0017720889567702503
foreign,30,0.057276933333333335,0.0017681886905685565,0.053568,0.061013,0.057276933333333335,0.0017681886905685565
foreign,31,0.05724751111111111,0.0017655775596648045,0.053543,0.060982,0.05724751111111111,0.0017655775596648045
foreign,32,0.057219488888888885,0.001764037164912325,0.053502,0.06096,0.057219488888888885,0.001764037164912325
foreign,33,0.05719613333333333,0.0017618001202282744,0.053472,0.060917,0.05719613333333333,0.0017618001202282744
foreign,34,0.057177,0.0017552282291382053,0.053457,0.060901,0.057177,0.0017552282291382053
foreign,35,0.057157822222222224,0.0017521211079054078,0.053434,0.060865,0.057157822222222224,0.0017521211079054078
foreign,36,0.057134444444444446,0.0017509089919181407,0.053412,0.060858,0.057134444444444446,0.0017509089919181407
foreign,37,0.057124244444444444,0.0017579136931389018,0.053395,0.060847,0.057124244444444444,0.0017579136931389018
foreign,38,0.05710875555555556,0.0017610392354768497,0.053384,0.060817,0.05710875555555556,0.0017610392354768497
foreign,39,0.05709711111111111,0.001769566988922102,0.053366,0.060794,0.05709711111111111,0.001769566988922102
foreign,40,0.05707797777777778,0.0017687831396045967,0.053349,0.060781,0.05707797777777778,0.0017687831396045967
foreign,41,0.057061777777777774,0.0017746533834281915,0.053331,0.060764,0.057061777777777774,0.0017746533834281915
foreign,42,0.05704360000000001,0.00176830283811137,0.053329,0.060752,0.05704360000000001,0.00176830283811137
foreign,43,0.057030533333333334,0.001767410864410526,0.053314,0.060742,0.057030533333333334,0.001767410864410526
foreign,44,0.05701424444444444,0.0017570846354577263,0.053313,0.060724,0.05701424444444444,0.0017570846354577263
foreign,45,0.057005044444444444,0.0017585385972391392,0.053304,0.060721,0.057005044444444444,0.0017585385972391392
foreign,46,0.05699168888888889,0.001759471044250391,0.053308,0.060704,0.05699168888888889,0.001759471044250391
foreign,47,0.056981444444444446,0.001760359461684865,0.053275,0.060702,0.056981444444444446,0.001760359461684865
foreign,48,0.05697215555555556,0.0017602274769776395,0.053279,0.060701,0.05697215555555556,0.0017602274769776395
foreign,49,0.056967133333333336,0.0017529859538928,0.05327,0.060688,0.056967133333333336,0.0017529859538928
foreign,50,0.05696677777777778,0.0017492229039424252,0.053262,0.06068,0.05696677777777778,0.0017492229039424252
foreign,51,0.056969288888888886,0.001745902822223063,0.05325,0.060677,0.056969288888888886,0.001745902822223063
foreign,52,0.05697004444444444,0.001747535302745966,0.053254,0.060667,0.05697004444444444,0.001747535302745966
foreign,53,0.05696668888888889,0.0017464749799397537,0.053251,0.060668,0.05696668888888889,0.0017464749799397537
foreign,54,0.056963733333333336,0.0017468810700008378,0.053247,0.060673,0.056963733333333336,0.0017468810700008378
foreign,55,0.05695784444444444,0.0017451009733166476,0.05324,0.060661,0.05695784444444444,0.0017451009733166476
foreign,56,0.056949711111111107,0.0017436999927299588,0.053245,0.060663,0.056949711111111107,0.0017436999927299588
foreign,57,0.05694051111111111,0.0017411077928906776,0.053232,0.060644,0.05694051111111111,0.0017411077928906776
foreign,58,0.056940222222222225,0.0017482994970293656,0.053238,0.060642,0.056940222222222225,0.0017482994970293656
foreign,59,0.05693488888888888,0.0017497753391146366,0.053234,0.060637,0.05693488888888888,0.0017497753391146366
foreign,60,0.056931133333333335,0.0017474959045341524,0.053243,0.060642,0.056931133333333335,0.0017474959045341524
foreign,61,0.05692133333333333,0.0017424954414965816,0.053225,0.060638,0.05692133333333333,0.0017424954414965816
foreign,62,0.0569088,0.0017389744443728383,0.053227,0.060643,0.0569088,0.0017389744443728383
foreign,63,0.05690108888888889,0.0017360541181109805,0.053215,0.060628,0.05690108888888889,0.0017360541181109805
foreign,64,0.056895600000000005,0.0017365368802198362,0.053222,0.060633,0.056895600000000005,0.0017365368802198362
foreign,65,0.05688937777777778,0.0017335661521962185,0.053217,0.060628,0.05688937777777778,0.0017335661521962185
foreign,66,0.05688668888888889,0.0017310931231479438,0.053219,0.060641,0.05688668888888889,0.0017310931231479438
foreign,67,0.0568824,0.001730614071258049,0.053231,0.060631,0.0568824,0.001730614071258049
foreign,68,0.05688435555555556,0.0017310373815032467,0.05322,0.06063,0.05688435555555556,0.0017310373815032467
foreign,69,0.056890800000000005,0.0017281779238156102,0.053222,0.060632,0.056890800000000005,0.0017281779238156102
foreign,70,0.056908688888888885,0.00172191367936721,0.053218,0.06063,0.056908688888888885,0.00172191367936721
foreign,71,0.056921688888888884,0.0017237903376811305,0.053227,0.060623,0.056921688888888884,0.0017237903376811305
foreign,72,0.056926644444444445,0.0017273878618458936,0.053214,0.060624,0.056926644444444445,0.0017273878618458936
foreign,73,0.056930488888888894,0.001726780275307754,0.053216,0.060615,0.056930488888888894,0.001726780275307754
foreign,74,0.05693128888888888,0.0017235572968589002,0.053218,0.060624,0.05693128888888888,0.0017235572968589002
foreign,75,0.056931222222222216,0.0017250202619216975,0.053222,0.06062,0.056931222222222216,0.0017250202619216975
institution,1,0.015857,0.00080464037704035,0.014097,0.017482,0.015917,0.0008046403770403498
institution,2,0.01580113333333333,0.0008011027796958161,0.014043,0.017416,0.015877955555555556,0.000804014839176592
institution,3,0.015768,0.0007977821529943895,0.014008,0.017372,0.015856755555555557,0.0008032703370244877
institution,4,0.015745422222222225,0.0007948067371977604,0.013982,0.01734,0.015847133333333333,0.0008022936324858087
institution,5,0.0157282,0.0007925135674204289,0.013957,0.017312,0.015837955555555557,0.0008016353443134392
institution,6,0.015712044444444444,0.0007906498465173946,0.013932,0.017284,0.015827755555555555,0.0008012975317217903
institution,7,0.015697266666666668,0.0007891435057879349,0.013911,0.01726,0.01582022222222222,0.000800945205505484
institution,8,0.015683933333333334,0.0007877713212255531,0.013891,0.017238,0.015815733333333335,0.0008001855580255916
institution,9,0.015672377777777777,0.0007868655969584434,0.01387,0.017219,0.015810377777777777,0.0007995705463471367
institution,10,0.01566228888888889,0.0007862526375796842,0.013851,0.017203,0.01580477777777778,0.0007989807111361805
retail,1,0.11103993333333333,0.004817664194493944,0.10304,0.122248,0.11104546666666668,0.004817511921955337
retail,2,0.1097814,0.00485321012976322,0.101927,0.121006,0.10979135555555555,0.004853048012030239
