investor,max_abs_diff,mean_abs_diff,n,sign_mismatches
foreign,0.01804945592689134,0.0012703715069718037,495,87
institution,0.0021245131132858683,0.0001465222083095661,495,140
retail,0.03265130795820989,0.005182031734386714,495,93
