investor,coefficient,exact_lasso_mean,exact_lasso_std,adam_mean,adam_std,mean_diff
foreign,fx_level_z_252,-0.02105668301234828,0.008353319886315503,-0.020550477452990032,0.008729418201319087,-0.0005062055593582464
foreign,kospi_return_1d,0.006552126026395371,0.004392136385850354,0.008013440100249744,0.005777615221609709,-0.0014613140738543732
foreign,momentum,0.03833169296237303,0.007460630855500173,0.03939733571476402,0.007900001280857043,-0.0010656427523909884
foreign,persist,0.07935603784590273,0.0064494376714721155,0.07689174496465255,0.006793279963212854,0.002464292881250177
foreign,underwater,0.01102139137735942,0.0038191805464283753,0.010217340456114827,0.004706966476373255,0.0008040509212445934
institution,fx_level_z_252,-0.003537711845704308,0.002395909780235016,-0.0035758864163653445,0.002363133153674224,3.8174570661036415e-05
institution,kospi_return_1d,-0.016687611507080608,0.0031070846044850527,-0.016539059641460536,0.002858366656345795,-0.0001485518656200724
institution,momentum,-0.0008711810600816818,0.0018181956023117206,-0.0008743258482960828,0.0018237138392183893,3.1447882144010385e-06
institution,persist,0.023475447632564626,0.0028102809890374262,0.023210190898842242,0.002197234650081217,0.00026525673372238337
institution,underwater,-0.00016200824131061656,0.00048091161289516056,-0.0002510624513281997,0.00047057591524379507,8.905421001758316e-05
retail,fx_level_z_252,0.030413670419914593,0.009878135474898169,0.03166674882587455,0.010154813568871919,-0.0012530784059599578
retail,kospi_return_1d,0.02910587268005505,0.008443421450996268,0.016865319259361217,0.007005009542624485,0.012240553420693832
retail,momentum,-0.027713986386759877,0.006192588460085188,-0.03176650189691116,0.005714984819031027,0.004052515510151282
retail,persist,0.10484176124558268,0.010107536371941214,0.08334918750656972,0.005658346025393017,0.021492573739012963
retail,underwater,0.01821279858167927,0.013039425248143596,0.024368843819118163,0.011480096257184333,-0.006156045237438894
