epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,0.002999335527420044
1,beta,persist,,0.0029978572856634855
1,beta,underwater,,-0.0004115040646865964
1,B,momentum,kospi_return_1d,-0.0024535933043807745
1,B,momentum,fx_level_z_252,-0.0021052579395473003
1,B,persist,kospi_return_1d,-0.001970581477507949
1,B,persist,fx_level_z_252,0.0014664133777841926
1,B,underwater,kospi_return_1d,0.0003285850107204169
1,B,underwater,fx_level_z_252,0.002957307267934084
1,alpha,,kospi_return_1d,0.0029921173118054867
1,alpha,,fx_level_z_252,-0.003002830082550645
2,beta,momentum,,0.005963840987533331
2,beta,persist,,0.005955632776021957
2,beta,underwater,,-0.001851702225394547
2,B,momentum,kospi_return_1d,-0.0038960992824286222
2,B,momentum,fx_level_z_252,-0.004312711302191019
2,B,persist,kospi_return_1d,-0.0017995501402765512
2,B,persist,fx_level_z_252,-0.00025703111896291375
2,B,underwater,kospi_return_1d,-0.00011943398567382246
2,B,underwater,fx_level_z_252,0.005189575254917145
2,alpha,,kospi_return_1d,0.0058459131978452206
2,alpha,,fx_level_z_252,-0.0059480322524905205
3,beta,momentum,,0.008900321088731289
3,beta,persist,,0.008855576626956463
3,beta,underwater,,-0.003033736953511834
3,B,momentum,kospi_return_1d,-0.005242640618234873
3,B,momentum,fx_level_z_252,-0.006566594820469618
3,B,persist,kospi_return_1d,-0.0017521886620670557
3,B,persist,fx_level_z_252,-0.001995587721467018
3,B,underwater,kospi_return_1d,-0.0007834834977984428
3,B,underwater,fx_level_z_252,0.007116036489605904
3,alpha,,kospi_return_1d,0.0086907260119915
3,alpha,,fx_level_z_252,-0.008801150135695934
4,beta,momentum,,0.011731287464499474
4,beta,persist,,0.011594885028898716
4,beta,underwater,,-0.0035653540398925543
4,B,momentum,kospi_return_1d,-0.006494235713034868
4,B,momentum,fx_level_z_252,-0.008363217115402222
4,B,persist,kospi_return_1d,-0.0012337870430201292
4,B,persist,fx_level_z_252,-0.003475265111774206
4,B,underwater,kospi_return_1d,-0.0015441791620105505
4,B,underwater,fx_level_z_252,0.008866779506206512
4,alpha,,kospi_return_1d,0.011389479041099548
4,alpha,,fx_level_z_252,-0.01161583885550499
5,beta,momentum,,0.014497940428555012
5,beta,persist,,0.01437089778482914
5,beta,underwater,,-0.004078377038240433
5,B,momentum,kospi_return_1d,-0.007641707081347704
5,B,momentum,fx_level_z_252,-0.010038145817816257
5,B,persist,kospi_return_1d,-0.0008514743531122804
5,B,persist,fx_level_z_252,-0.004402240738272667
5,B,underwater,kospi_return_1d,-0.0024173108395189047
5,B,underwater,fx_level_z_252,0.009730398654937744
5,alpha,,kospi_return_1d,0.014022993855178356
5,alpha,,fx_level_z_252,-0.01433483138680458
6,beta,momentum,,0.01721612550318241
6,beta,persist,,0.017087673768401146
6,beta,underwater,,-0.0037812436930835247
6,B,momentum,kospi_return_1d,-0.008766205981373787
6,B,momentum,fx_level_z_252,-0.0115885054692626
6,B,persist,kospi_return_1d,-0.0002591436787042767
6,B,persist,fx_level_z_252,-0.005219603888690472
6,B,underwater,kospi_return_1d,-0.003211752977222204
6,B,underwater,fx_level_z_252,0.010242794640362263
6,alpha,,kospi_return_1d,0.01636609621345997
6,alpha,,fx_level_z_252,-0.016947487369179726
7,beta,momentum,,0.01981346681714058
7,beta,persist,,0.01973782666027546
7,beta,underwater,,-0.0033153642434626818
7,B,momentum,kospi_return_1d,-0.009893816895782948
7,B,momentum,fx_level_z_252,-0.01254178211092949
7,B,persist,kospi_return_1d,-4.4709566282108426e-05
7,B,persist,fx_level_z_252,-0.0057824174873530865
7,B,underwater,kospi_return_1d,-0.004184691701084375
7,B,underwater,fx_level_z_252,0.010798023082315922
7,alpha,,kospi_return_1d,0.01855771243572235
7,alpha,,fx_level_z_252,-0.019405407831072807
8,beta,momentum,,0.02228652872145176
8,beta,persist,,0.022288084030151367
8,beta,underwater,,-0.0025072311982512474
8,B,momentum,kospi_return_1d,-0.011293506249785423
8,B,momentum,fx_level_z_252,-0.013237792067229748
8,B,persist,kospi_return_1d,-3.495355122140609e-05
8,B,persist,fx_level_z_252,-0.005973991937935352
8,B,underwater,kospi_return_1d,-0.004946760833263397
8,B,underwater,fx_level_z_252,0.010417542420327663
8,alpha,,kospi_return_1d,0.020343273878097534
8,alpha,,fx_level_z_252,-0.02161061204969883
9,beta,momentum,,0.0246854517608881
9,beta,persist,,0.02478598617017269
9,beta,underwater,,-0.001442409004084766
9,B,momentum,kospi_return_1d,-0.012546241283416748
9,B,momentum,fx_level_z_252,-0.013830390758812428
9,B,persist,kospi_return_1d,-0.0001117641368182376
9,B,persist,fx_level_z_252,-0.005769680254161358
9,B,underwater,kospi_return_1d,-0.0055254059843719006
9,B,underwater,fx_level_z_252,0.009880580008029938
9,alpha,,kospi_return_1d,0.021971160545945168
9,alpha,,fx_level_z_252,-0.023753685876727104
10,beta,momentum,,0.026979127898812294
10,beta,persist,,0.027213633060455322
