epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.070204,0.26496,0.023685,0.070322
2,0.068343,0.261425,0.04114,0.068549
3,0.066827,0.258509,0.061738,0.067135
4,0.06527,0.25548,0.079874,0.06567
5,0.064099,0.253179,0.096386,0.064581
6,0.063067,0.251131,0.110687,0.06362
7,0.062148,0.249294,0.124075,0.062768
8,0.061294,0.247577,0.13494,0.061969
9,0.060668,0.246308,0.144303,0.061389
10,0.060075,0.245102,0.152011,0.060835
11,0.059564,0.244058,0.159702,0.060363
12,0.05912,0.243146,0.166796,0.059954
13,0.058774,0.242433,0.17136,0.059631
14,0.058428,0.241719,0.175922,0.059308
15,0.058149,0.24114,0.179072,0.059044
16,0.057968,0.240766,0.182169,0.058879
17,0.057734,0.240279,0.183288,0.05865
18,0.057554,0.239904,0.185808,0.058483
19,0.057368,0.239517,0.189261,0.058315
20,0.057226,0.23922,0.191765,0.058185
21,0.057102,0.23896,0.19352,0.05807
22,0.056975,0.238694,0.195762,0.057954
23,0.056856,0.238444,0.197051,0.057841
24,0.056762,0.238247,0.197771,0.057751
25,0.05667,0.238055,0.198689,0.057663
26,0.056587,0.237879,0.199139,0.057582
27,0.056528,0.237756,0.198766,0.057522
28,0.056444,0.237579,0.198685,0.057437
29,0.056372,0.237428,0.19885,0.057367
30,0.05633,0.237339,0.199024,0.057325
31,0.056286,0.237247,0.199007,0.057281
32,0.05623,0.23713,0.198837,0.057225
33,0.056187,0.237039,0.199301,0.057184
34,0.056143,0.236946,0.199374,0.05714
35,0.056116,0.236889,0.199237,0.057112
36,0.05609,0.236834,0.19885,0.057085
37,0.056065,0.23678,0.198572,0.057058
38,0.056019,0.236684,0.198713,0.057013
39,0.056001,0.236646,0.198365,0.056993
40,0.055992,0.236627,0.198233,0.056984
41,0.055968,0.236576,0.198237,0.056959
42,0.055933,0.236503,0.19851,0.056926
43,0.055918,0.23647,0.199072,0.056913
44,0.055906,0.236444,0.199975,0.056906
45,0.05588,0.236389,0.19976,0.056878
46,0.055879,0.236388,0.198994,0.056874
47,0.055874,0.236377,0.199446,0.056871
48,0.055867,0.236362,0.199191,0.056863
49,0.055844,0.236313,0.199182,0.05684
50,0.055829,0.236281,0.199233,0.056825
51,0.055837,0.236299,0.199808,0.056836
52,0.055816,0.236254,0.19993,0.056816
53,0.055799,0.236217,0.200158,0.056799
54,0.055788,0.236194,0.200619,0.056791
55,0.055781,0.236179,0.20129,0.056787
56,0.055789,0.236198,0.200984,0.056794
57,0.055773,0.236163,0.20139,0.05678
58,0.055767,0.236151,0.201975,0.056777
59,0.055761,0.236138,0.201698,0.05677
60,0.055762,0.236139,0.202017,0.056772
61,0.055752,0.236118,0.201807,0.056761
62,0.055752,0.236118,0.201411,0.056759
63,0.055748,0.23611,0.201046,0.056753
64,0.055744,0.236102,0.201442,0.056751
65,0.055748,0.23611,0.201677,0.056756
66,0.055741,0.236096,0.201757,0.05675
67,0.055754,0.236123,0.201432,0.056761
68,0.055735,0.236082,0.200832,0.056739
69,0.055739,0.23609,0.201578,0.056747
70,0.055734,0.236081,0.201329,0.056741
71,0.055732,0.236077,0.201666,0.056741
72,0.055725,0.236061,0.202305,0.056737
73,0.055722,0.236056,0.201951,0.056732
74,0.055741,0.236095,0.201031,0.056746
75,0.055732,0.236077,0.200752,0.056736
76,0.055741,0.236095,0.201026,0.056746
77,0.055737,0.236087,0.201031,0.056742
78,0.055729,0.23607,0.201372,0.056736
79,0.055726,0.236063,0.201827,0.056735
80,0.055723,0.236057,0.201624,0.056731
81,0.055743,0.2361,0.201395,0.05675
82,0.055727,0.236065,0.201649,0.056735
83,0.05573,0.236072,0.202279,0.056741
84,0.055723,0.236057,0.201962,0.056732
85,0.055726,0.236064,0.202058,0.056737
86,0.055721,0.236052,0.202099,0.056731
87,0.055724,0.23606,0.201356,0.056731
88,0.055734,0.23608,0.201808,0.056743
89,0.055729,0.236069,0.201734,0.056737
90,0.055734,0.236081,0.2012,0.05674
91,0.055726,0.236063,0.201356,0.056732
92,0.055729,0.236069,0.201559,0.056736
93,0.055719,0.236049,0.202066,0.05673
94,0.055718,0.236046,0.201987,0.056728
95,0.055727,0.236067,0.202013,0.056737
96,0.055726,0.236064,0.202176,0.056737
97,0.055753,0.23612,0.201581,0.056761
98,0.055724,0.236059,0.201656,0.056732
99,0.055723,0.236056,0.201539,0.05673
100,0.055723,0.236056,0.201725,0.056731
101,0.055724,0.23606,0.202489,0.056737
102,0.055732,0.236076,0.202723,0.056746
103,0.055715,0.236039,0.202957,0.056729
104,0.055713,0.236035,0.202444,0.056725
105,0.055717,0.236044,0.20199,0.056727
106,0.055719,0.23605,0.201868,0.056729
107,0.055718,0.236046,0.201628,0.056726
108,0.05572,0.23605,0.201935,0.056729
109,0.055717,0.236044,0.201965,0.056726
110,0.055737,0.236087,0.202955,0.056752
111,0.055723,0.236057,0.202992,0.056738
112,0.055727,0.236066,0.20313,0.056743
113,0.055716,0.236041,0.204274,0.056737
114,0.055706,0.236021,0.204329,0.056728
115,0.055718,0.236046,0.20291,0.056732
116,0.055715,0.236041,0.203008,0.05673
117,0.055715,0.236041,0.202265,0.056727
118,0.055719,0.236048,0.202252,0.05673
119,0.055723,0.236057,0.202736,0.056736
120,0.055714,0.236039,0.202738,0.056728
121,0.055723,0.236058,0.20248,0.056736
122,0.055719,0.236049,0.201973,0.056729
123,0.055719,0.236048,0.201736,0.056727
124,0.055718,0.236047,0.201811,0.056727
125,0.055719,0.23605,0.201299,0.056726
126,0.055724,0.23606,0.200812,0.056728
127,0.055739,0.236091,0.200847,0.056743
128,0.055723,0.236056,0.201475,0.05673
129,0.055726,0.236063,0.201029,0.056731
130,0.055732,0.236076,0.201739,0.056741
131,0.055721,0.236054,0.201416,0.056728
132,0.055717,0.236045,0.201454,0.056724
133,0.055724,0.236058,0.201528,0.056731
134,0.055735,0.236083,0.202354,0.056747
135,0.055716,0.236043,0.202781,0.05673
136,0.055718,0.236047,0.202531,0.056731
137,0.055723,0.236057,0.202732,0.056736
138,0.055716,0.236042,0.203196,0.056732
139,0.055713,0.236036,0.203097,0.056729
140,0.055731,0.236074,0.202447,0.056743
141,0.055728,0.236068,0.202518,0.05674
142,0.055722,0.236055,0.202664,0.056735
143,0.055715,0.23604,0.202295,0.056726
144,0.055721,0.236053,0.202222,0.056732
145,0.055721,0.236052,0.201666,0.056729
146,0.055734,0.23608,0.201825,0.056743
147,0.055733,0.236078,0.202736,0.056747
148,0.05572,0.236052,0.202555,0.056733
149,0.055714,0.236037,0.203202,0.05673
150,0.055712,0.236034,0.202886,0.056727
