date,close,high,low,return,trading_value,foreign_net_buy,institution_net_buy,retail_net_buy,foreign_buy_value,foreign_sell_value,foreign_buy_volume,foreign_sell_volume,institution_buy_value,institution_sell_value,institution_buy_volume,institution_sell_volume,retail_buy_value,retail_sell_value,retail_buy_volume,retail_sell_volume,usdkrw,kospi200_return,vkospi
2019-01-16,41450,41450,40700,0.008515815085158,349967824950,57335541650,-19569744200,-37302731100,169862988850,112527447200,4117529,2727169,117990086900,137559831100,2863210,3341930,59139466300,96442197400,1438204,2339318,1122.400024414062,0.0048160634238507,14.62
2019-01-17,41950,42100,41450,0.0120627261761157,491376805142,130298541850,-34656211650,-93575649900,240257787242,109959245392,5741204,2625328,184959836250,219616047900,4413900,5248604,64763817950,158339467850,1548488,3780362,1118.77001953125,0.0023964900637833,14.98
2019-01-18,42300,42400,41950,0.0083432657926103,465779014650,60334190450,1621167250,-60224339000,269199950400,208865759950,6373922,4946354,152636959050,151015791800,3614272,3575228,43737393500,103961732500,1036214,2461849,1120.550048828125,0.007356186552891,14.32
2019-01-21,42750,42750,41900,0.0106382978723404,482175851350,71714646700,3264849200,-73414509150,228549228300,156834581600,5374609,3694059,203270706200,200005857000,4792619,4712087,50029608800,123444117950,1180765,2905189,1125.7900390625,0.0004381480940558,14.64
2019-01-22,42150,42850,41850,-0.0140350877192982,420046904750,15417859300,1816965850,-16590045500,170733690200,155315830900,4048018,3685737,186208829800,184391863950,4419411,4375236,63001509700,79591555200,1494491,1885667,1132.369995117188,-0.0047080291970803,14.93
2019-01-23,42000,42250,41350,-0.0035587188612099,463297064600,-89605658050,99586696250,-8939239450,149821353600,239427011650,3579123,5722679,264475210450,164888514200,6319125,3939144,48648070050,57587309500,1164415,1375976,1130.150024414062,0.0042536027281727,14.8
2019-01-24,43050,43100,42350,0.0249999999999999,632002060800,208683437650,-98283476300,-109832495800,404359642600,195676204950,9430226,4563694,170475788200,268759264500,3981605,6276902,56286311150,166118806950,1315248,3873173,1125.329956054688,0.0100047467776682,14.03
2019-01-25,44750,44750,43750,0.0394889663182345,1009867914800,390466930150,-86917061900,-287038372600,631362653050,240895722900,14242906,5431565,293174957700,380092019600,6619578,8585807,84222961850,371261334450,1901952,8374960,1126.75,0.0182929033657495,14.42
2019-01-28,45050,45500,44600,0.0067039106145252,812165597086,345509711350,-194885530050,-138854692250,517016250286,171506538936,11460912,3803786,193904258550,388789788600,4294068,8616405,100711191850,239565884100,2232144,5306303,1118.010009765625,-0.0001065076152946,14.94
2019-01-29,45500,45500,44350,0.0099889012208655,729601104797,182602610650,-91189770500,-81778172900,446447171897,263844561247,9912228,5863322,212693672700,303883443200,4733920,6759581,69848377950,151626550850,1555291,3365630,1119.699951171875,0.0048288595369976,15.18
2019-01-30,46400,46400,44800,0.0197802197802197,802319669700,192949979800,-26787076150,-162539390850,427419532650,234469552850,9320870,5137985,280669178350,307456254500,6124350,6696870,93162274000,255701664850,2037286,5568233,1117.869995117188,0.012791519434629,16.99
2019-01-31,46150,47050,46150,-0.0053879310344827,1007418016957,262810861600,-158818265750,-101810129850,698208362957,435397501357,14986581,9354601,204574950900,363393216650,4390560,7796136,102635472050,204445601900,2201340,4380819,1109.0,-0.0025469262438071,15.51
2019-02-01,46350,46950,46250,0.0043336944745395,644179617419,137972503350,-54716936700,-81092426350,419149419969,281176916619,9000220,6036888,179406276250,234123212950,3852913,5030372,45448080750,126540507100,975552,2714987,1111.550048828125,-0.0003497848822973,14.86
2019-02-07,46200,47100,46200,-0.0032362459546925,739207112566,65343355000,-58409346100,-4991554800,484527062366,419183707366,10399498,9000243,177433914900,235843261000,3812096,5065132,76848183550,81839738350,1651870,1756341,1121.630004882812,-0.0004898701844012,14.75
2019-02-08,44800,45700,44650,-0.0303030303030302,571010653800,-60650560500,30462003200,34489301150,187540895300,248191455800,4163472,5517484,231147906300,200685903100,5141422,4461418,149754434050,115265132900,3327228,2558120,1123.75,-0.0145632767372657,14.83
2019-02-11,45000,45000,44250,0.0044642857142858,496105674534,21039818950,-2352659950,-18272015900,243362372784,222322553834,5450347,4984125,189557200650,191909860600,4256344,4303230,62810015750,81082031650,1409925,1820086,1122.880004882812,0.0021670396816939,14.87
2019-02-12,46050,46250,44650,0.0233333333333334,604234331980,86741837050,-15828326700,-71629170650,287185988330,200444151280,6266073,4383784,241638803500,257467130200,5268438,5611810,73931953400,145561124050,1617583,3172194,1125.02001953125,0.0056362991846861,14.88
2019-02-13,46200,46700,46000,0.003257328990228,522769115550,8642584150,27304316350,-36454613350,269406051250,260763467100,5822952,5636549,198084413550,170780097200,4283454,3691521,54271631900,90726245250,1171640,1960864,1120.300048828125,0.0045119672882372,15.77
2019-02-14,47500,47500,46150,0.0281385281385282,808870207486,140990454100,48239596450,-196693184200,368013395836,227022941736,7876928,4830811,385903244100,337663647650,8203154,7225852,44236137900,240929322100,949060,5133591,1123.719970703125,0.0130189142716776,13.76
2019-02-15,46050,46850,45650,-0.0305263157894737,487928325500,-59720414100,-38962107350,93159870200,98556902950,158277317050,2130538,3421899,221545282100,260507389450,4794379,5637184,162034791700,68874921500,3503700,1489751,1128.300048828125,-0.0162810031869197,14.24
2019-02-18,46200,46850,45850,0.003257328990228,379385585300,-23495791400,23438708950,390811300,103251836850,126747628250,2225448,2737089,204420508650,180981799700,4410119,3903154,71461577800,71070766500,1542734,1530815,1125.31005859375,0.0067610395098245,14.29
2019-02-19,45950,46150,45450,-0.0054112554112554,309243749000,-28259049350,19360183400,8991586950,89589344200,117848393550,1951378,2569413,164013702200,144653518800,3575060,3153211,55575029400,46583442450,1213528,1015318,1124.280029296875,-0.0034627492130113,15.15
2019-02-20,46900,47100,46500,0.0206746463547333,538847352577,144975768150,-29198147050,-114828274450,324256504727,179280736577,6924995,3829521,150711404050,179909551100,3217489,3842749,63556707150,178384981600,1357334,3807312,1121.420043945312,0.0122494822926535,14.64
2019-02-21,46950,47200,46200,0.0010660980810235,406411552100,82494074950,-71246620300,-14247588850,211013061800,128518986850,4510070,2752069,113894153500,185140773800,2436123,3960995,77578903750,91826492600,1663778,1961176,1121.719970703125,3.467406380042171e-05,14.53
2019-02-22,47150,47150,46450,0.0042598509052182,322775255100,31302854600,1662207350,-37726294200,150318105200,119015250600,3206444,2543562,130483466850,128821259500,2790089,2753791,35379016900,73105311100,757917,1559297,1124.150024414062,0.0011442044311915,14.2
