date,close,return,trading_value,foreign_net_buy,institution_net_buy,retail_net_buy,usdkrw,kospi200_return
2021-01-04,83000,0.0246913580246914,3185356823460,-381245371800,-326136950200,658901836000,1084.72998046875,0.0272033702381258
2021-01-05,83900,0.0108433734939759,2915618322800,-425999413100,-203963791100,622727193300,1086.6199951171875,0.015379613884165
2021-01-06,82200,-0.0202622169249105,3506903681680,-584210787500,-442463559600,1013153304900,1086.449951171875,-0.0097283451961677
2021-01-07,82900,0.008515815085158,2726112459660,-196924541800,250129976600,-71008181500,1086.949951171875,0.0217120970951054
2021-01-08,88800,0.0711700844390832,5083939899952,604012142600,-436089196200,-169881010800,1093.0699462890625,0.0472481195686571
2021-01-11,91000,0.0247747747747748,8379237727064,-506901229100,-1258341218200,1749037839500,1092.8199462890625,0.0021151968760169
2021-01-12,90600,-0.0043956043956043,4362546108950,-219249717700,-526532755100,737797735100,1096.449951171875,-0.0075615243662003
2021-01-13,89700,-0.0099337748344371,3244066562850,-260114727200,-160688802600,413205839100,1093.5400390625,0.005866267791619
2021-01-14,89700,0.0,2356661622700,246418252500,-523892327500,288414377800,1097.1099853515625,-0.0012314698638411
2021-01-15,88000,-0.0189520624303233,2975231937664,-246282164100,-440769209300,661609085600,1094.9000244140625,-0.021914621379551
2021-01-18,85000,-0.034090909090909,3715775992600,-79835001500,42323535000,14829121700,1102.9599609375,-0.0236186761173085
2021-01-19,87000,0.0235294117647058,3441342754500,81211582300,95523053500,-173484213300,1103.0999755859375,0.0264311814859927
2021-01-20,87200,0.0022988505747125,2205739149700,-88619999900,-364476214000,430115581000,1100.989990234375,0.0063130414145009
2021-01-21,88100,0.0103211009174311,2211209788500,-161767149700,-60637506300,250285510000,1096.25,0.0147638027405014
2021-01-22,86800,-0.0147559591373439,2717635251520,-313082522700,-562644916900,870709684700,1099.9000244140625,-0.0072977432774768
2021-01-25,89400,0.0299539170506912,2410066876846,137207128400,267325159400,-414567263600,1104.6400146484375,0.0238100812399035
2021-01-26,86700,-0.0302013422818792,2899318433100,-688544353000,-769635519500,1450110933600,1101.72998046875,-0.0241710496226846
2021-01-27,85600,-0.0126874279123414,2282487598000,-367935796000,-239565674200,613071448600,1101.0,-0.0071708105828041
2021-01-28,83700,-0.0221962616822429,2676569098000,-581328511200,-187639612100,771733967600,1107.5,-0.017159581749947
2021-01-29,82000,-0.020310633213859,3292344404628,-423194890800,-5598823200,439598202100,1112.2900390625,-0.0284341978866473
2021-02-01,83000,0.0121951219512195,2311656941176,-176239559300,41182582900,132096368000,1117.4300537109375,0.0269181332806012
2021-02-02,84400,0.0168674698795181,2234863449476,-4062515600,65565211300,-71198993900,1116.8800048828125,0.013431219159947
2021-02-03,84600,0.0023696682464455,1864450334050,-109878349800,-273962132100,373832135000,1113.6099853515625,0.0099280336318077
2021-02-04,82500,-0.0248226950354609,2000202343000,-289415512500,-605385672200,890549378400,1113.1500244140625,-0.0162272759342442
2021-02-05,83500,0.0121212121212122,1499217618600,33215539400,75574125600,-122657106100,1119.1300048828125,0.0119289522124739
2021-02-08,83000,-0.0059880239520958,1281925400900,-21956432000,87971998300,-51485464700,1116.8499755859375,-0.0102763997165131
2021-02-09,82700,-0.0036144578313253,1748440766360,-153429368500,-45622311700,185201445100,1116.3299560546875,-0.0024823964673588
2021-02-10,81600,-0.0133010882708585,1888591264669,-230075222600,-383661112400,605349184900,1110.0,0.0041635758895455
2021-02-15,84200,0.0318627450980393,1978336504100,298930886600,-34603154100,-285425223000,1103.3699951171875,0.0175384248778744
2021-02-16,84900,0.0083135391923989,1740792201903,186866449100,-239895438200,47281656600,1102.239990234375,0.0052223601320813
2021-02-17,83200,-0.0200235571260306,1526409421172,-142680833100,-485176868300,618840931400,1106.4599609375,-0.0117416829745596
2021-02-18,82100,-0.0132211538461538,1762033944231,-203183516800,-295187437200,493387993000,1104.550048828125,-0.0159358793022159
2021-02-19,82600,0.0060901339829475,2121275310450,-354778637800,-22323230400,367393333000,1106.219970703125,0.0083844384821771
2021-02-22,82200,-0.0048426150121065,2113624966100,86100819100,-60212302500,-26836888800,1103.93994140625,-0.0096450800589157
2021-02-23,82000,-0.0024330900243308,1683933027000,-154843992800,39156902200,117046966800,1110.6700439453125,-0.002542698138553
2021-02-24,82000,0.0,2208585141393,102313263000,126153150600,-215146339900,1109.31005859375,-0.0208263190803712
2021-02-25,85300,0.0402439024390244,2880259491180,691391602800,421837617300,-1111116533500,1107.2099609375,0.0377247273798997
2021-02-26,82500,-0.0328253223915592,3175845143233,-879026763900,-274270557400,1142488984100,1119.1300048828125,-0.0298447410773453
2021-03-02,83600,0.0133333333333334,2823604648915,303346855400,215683128500,-511456529700,1101.8299560546875,0.0119294479275937
2021-03-03,84000,0.0047846889952152,1659122458768,-223074678200,103260646000,117174266600,1124.3299560546875,0.0131870781099323
2021-03-04,82400,-0.019047619047619,2010257798200,-197352604500,-471818723100,660754479300,1129.5,-0.014514478787446
2021-03-05,82100,-0.0036407766990291,1677602868700,-132410250000,-221031427200,356527934700,1133.3499755859375,-0.0052393944515537
2021-03-08,82000,-0.0012180267965895,1448480913600,-95048772300,-107130696100,217768964600,1127.489990234375,-0.0088834951456311
2021-03-09,81400,-0.0073170731707317,2066544317650,-393342102400,109062203000,277965480300,1140.22998046875,-0.0062447960033304
2021-03-10,80900,-0.0061425061425061,1632812662321,-127603749100,-109163302600,228454217700,1134.9100341796875,-0.0056925996204933
2021-03-11,82000,0.0135970333745365,1952164587512,492042722900,-220013257400,-266300857800,1136.010009765625,0.0186874194507782
2021-03-12,82800,0.0097560975609756,1121128514600,183420146400,-23514374600,-165629218600,1129.6400146484375,0.0124324850372246
2021-03-15,81800,-0.0120772946859903,1128533403400,-201924523900,-197887823700,390761091600,1134.5,-0.0046860356138705
2021-03-16,82800,0.0122249388753055,1014280956368,105707599500,99408505000,-207116004900,1131.3900146484375,0.0075571007774397
2021-03-17,82300,-0.0060386473429951,957444384952,49759618500,-132063543700,80870747400,1129.8399658203125,-0.0079077903716662
2021-03-18,82900,0.0072904009720533,1545980791426,208518130400,56183512300,-267357479000,1121.1300048828125,0.007366971812275
2021-03-19,81900,-0.0120627261761158,1301953467700,-118174818700,-336861256500,455315310600,1126.1099853515625,-0.0099506066273437
2021-03-22,82000,0.0012210012210012,1039543136201,-88777838200,-38052864700,122380093700,1127.47998046875,-0.0006538955220266
2021-03-23,81800,-0.0024390243902439,1092867144552,-22570923600,-96743844500,119877586900,1125.1199951171875,-0.0095240403257076
2021-03-24,81000,-0.0097799511002445,1454204203800,-252003851300,-202753673000,449916733300,1133.199951171875,-0.0039392234102418
2021-03-25,81200,0.0024691358024691,1200699288823,10663152200,-33632200700,21265475800,1134.47998046875,0.0035126504544336
2021-03-26,81500,0.0036945812807882,1044261903000,-154019704200,-29824515000,182615535500,1134.2099609375,0.0106724108388613
2021-03-29,81600,0.0012269938650306,1216567675700,26893444200,-196350469500,166722503300,1131.6500244140625,-0.0020344401656614
2021-03-30,82200,0.0073529411764705,1074968693016,169788496400,29060079100,-205120706300,1132.3199462890625,0.0110666181288678
2021-03-31,81400,-0.0097323600973235,1413779202400,-133031717200,-103816036500,230748156300,1127.199951171875,-0.0037685125177023
2021-04-01,82900,0.0184275184275184,1542484638200,310307314900,47233563000,-358385143100,1128.06005859375,0.0105531996915959
2021-04-02,84800,0.0229191797346199,1947586897500,501929332000,238285550100,-750242596800,1128.06005859375,0.0102999380096322
2021-04-05,85400,0.0070754716981131,1385160353200,25067159400,-126098287600,95690013200,1124.1099853515625,0.0026195308443857
2021-04-06,86000,0.0070257611241217,1633460653000,276488125800,-213029391700,-57704824100,1117.5,0.0024243850770859
2021-04-07,85600,-0.0046511627906976,1532760739551,111429558600,-155062766000,41529341700,1117.8599853515625,0.0019254250023481
2021-04-08,84700,-0.0105140186915887,1629938227200,-101055351300,-271159335200,365951057000,1115.8399658203125,0.0003749707054137
2021-04-09,83600,-0.0129870129870129,1527078831700,-168905202000,-264288396400,423148165700,1115.8399658203125,-0.0059972824813756
2021-04-12,83200,-0.0047846889952153,1078274477112,-68154918700,-182968022900,249334197400,1124.449951171875,-0.0001885458402073
2021-04-13,84000,0.0096153846153845,1276903128038,77067460200,-35689348300,-58057090800,1120.68994140625,0.0114563198340482
