epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,-0.0004999996745027602
1,beta,persist,,0.000499999790918082
1,beta,underwater,,-0.0004999996162950993
1,B,momentum,kospi_return_1d,-0.0004999986849725246
1,B,momentum,fx_level_z_252,0.0004999976372346282
1,B,persist,kospi_return_1d,-0.0004999997327104211
1,B,persist,fx_level_z_252,0.0004999966477043927
1,B,underwater,kospi_return_1d,0.000499999790918082
1,B,underwater,fx_level_z_252,0.000499999150633812
1,alpha,,kospi_return_1d,-0.0004999994998797774
1,alpha,,fx_level_z_252,-0.0004999994416721165
2,beta,momentum,,-0.000986014842055738
2,beta,persist,,0.0009962597396224737
2,beta,underwater,,-0.000978777534328401
2,B,momentum,kospi_return_1d,-0.0005379197536967695
2,B,momentum,fx_level_z_252,0.00034836865961551666
2,B,persist,kospi_return_1d,-0.0009844372980296612
2,B,persist,fx_level_z_252,0.0002536647371016443
2,B,underwater,kospi_return_1d,0.0009878672426566482
2,B,underwater,fx_level_z_252,0.0008968830807134509
2,alpha,,kospi_return_1d,-0.0009680409566499293
2,alpha,,fx_level_z_252,-0.0009378507384099066
3,beta,momentum,,-0.0014672824181616306
3,beta,persist,,0.0014912167098373175
3,beta,underwater,,-0.0014451844617724419
3,B,momentum,kospi_return_1d,-0.00038270826917141676
3,B,momentum,fx_level_z_252,6.86083803884685e-05
3,B,persist,kospi_return_1d,-0.0014613745734095573
3,B,persist,fx_level_z_252,-9.954289998859167e-05
3,B,underwater,kospi_return_1d,0.0014678854495286942
3,B,underwater,fx_level_z_252,0.0012362763518467546
3,alpha,,kospi_return_1d,-0.0014251917600631714
3,alpha,,fx_level_z_252,-0.0013436527224257588
4,beta,momentum,,-0.001944715972058475
4,beta,persist,,0.0019850777462124825
4,beta,underwater,,-0.0018976756837219
4,B,momentum,kospi_return_1d,-0.00013834901619702578
4,B,momentum,fx_level_z_252,-0.00024948734790086746
4,B,persist,kospi_return_1d,-0.0019315120298415422
4,B,persist,fx_level_z_252,-9.289973968407139e-05
4,B,underwater,kospi_return_1d,0.001938624307513237
4,B,underwater,fx_level_z_252,0.001528501627035439
4,alpha,,kospi_return_1d,-0.0018736924976110458
4,alpha,,fx_level_z_252,-0.001721734064631164
5,beta,momentum,,-0.0024178025778383017
5,beta,persist,,0.002477745059877634
5,beta,underwater,,-0.0023321497719734907
5,B,momentum,kospi_return_1d,0.00014663446927443147
5,B,momentum,fx_level_z_252,-0.00015957141295075417
5,B,persist,kospi_return_1d,-0.00239351624622941
5,B,persist,fx_level_z_252,6.826571916462854e-05
5,B,underwater,kospi_return_1d,0.0023971598129719496
5,B,underwater,fx_level_z_252,0.0017839991487562656
5,alpha,,kospi_return_1d,-0.002311958000063896
5,alpha,,fx_level_z_252,-0.002070424612611532
6,beta,momentum,,-0.0028853837866336107
6,beta,persist,,0.0029690410010516644
6,beta,underwater,,-0.0027436865493655205
6,B,momentum,kospi_return_1d,0.00011071385961258784
6,B,momentum,fx_level_z_252,6.989971734583378e-05
6,B,persist,kospi_return_1d,-0.002845397451892495
6,B,persist,fx_level_z_252,0.00010592414764687419
6,B,underwater,kospi_return_1d,0.002840048633515835
6,B,underwater,fx_level_z_252,0.0020199092105031013
6,alpha,,kospi_return_1d,-0.002737493021413684
6,alpha,,fx_level_z_252,-0.0023859927896410227
7,beta,momentum,,-0.0033462555147707462
7,beta,persist,,0.003458757186308503
7,beta,underwater,,-0.0031260664109140635
7,B,momentum,kospi_return_1d,-6.258000939851627e-05
7,B,momentum,fx_level_z_252,0.0002516019158065319
7,B,persist,kospi_return_1d,-0.0032839602790772915
7,B,persist,fx_level_z_252,4.880907363258302e-05
7,B,underwater,kospi_return_1d,0.003263006452471018
7,B,underwater,fx_level_z_252,0.002247490920126438
7,alpha,,kospi_return_1d,-0.003149976721033454
7,alpha,,fx_level_z_252,-0.0026638496201485395
8,beta,momentum,,-0.0037991434801369905
8,beta,persist,,0.003946664743125439
8,beta,underwater,,-0.00347224366851151
8,B,momentum,kospi_return_1d,-0.0001601093972567469
8,B,momentum,fx_level_z_252,0.00038953215698711574
8,B,persist,kospi_return_1d,-0.003705439856275916
8,B,persist,fx_level_z_252,-8.022195834200829e-05
8,B,underwater,kospi_return_1d,0.0036611566320061684
8,B,underwater,fx_level_z_252,0.0024718439672142267
8,alpha,,kospi_return_1d,-0.003549556713551283
8,alpha,,fx_level_z_252,-0.002899997867643833
9,beta,momentum,,-0.0042425487190485
9,beta,persist,,0.004432516638189554
9,beta,underwater,,-0.0037753789220005274
9,B,momentum,kospi_return_1d,-0.0001851911365520209
9,B,momentum,fx_level_z_252,0.00048825994599610567
9,B,persist,kospi_return_1d,-0.00410634558647871
9,B,persist,fx_level_z_252,-8.714309660717845e-05
9,B,underwater,kospi_return_1d,0.0040295785292983055
9,B,underwater,fx_level_z_252,0.0026944377459585667
9,alpha,,kospi_return_1d,-0.003935270477086306
9,alpha,,fx_level_z_252,-0.0030921881552785635
